#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
52,Ama_CL,多头,880476,2017/4/5 15:00,1775,2017/4/7 15:00,1819,1,1853,2017/4/6 14:00,1775,2017/4/5 15:00,7205.54,-568,100.00%,53.08%,53.08%
53,Ama_CL,多头,880571,2017/4/7 10:30,1734,2017/4/10 14:00,1732,1,1741,2017/4/7 14:00,1725,2017/4/10 10:30,170.96,-1438.46,16.17%,12.47%,-71.36%
54,Ama_CL,多头,880520,2017/4/6 14:00,1390,2017/4/10 14:00,1383,1,1396,2017/4/6 15:00,1382,2017/4/10 10:30,186.18,-1258.5,18.57%,-32.66%,-114.08%
55,Ama_CL,多头,880432,2017/4/6 11:30,1841,2017/4/11 10:30,1856,1,1908,2017/4/6 14:00,1841,2017/4/6 11:30,6089.18,-589.12,100.00%,14.92%,14.92%
56,Ama_CL,多头,880575,2017/4/6 10:30,2200,2017/4/11 10:30,2212,1,2247,2017/4/7 15:00,2187,2017/4/7 10:30,4010.44,-1969.96,75.95%,33.41%,9.36%
57,Ama_CL,多头,880577,2017/4/7 11:30,3438,2017/4/11 11:30,3409,1,3452,2017/4/7 15:00,3402,2017/4/11 10:30,294.6,-4727.36,7.49%,-9.07%,-101.58%
58,Ama_CL,多头,880537,2017/4/7 14:00,1042,2017/4/11 15:00,1041,1,1046,2017/4/10 15:00,1035,2017/4/11 14:00,107.85,-1006.36,13.78%,30.88%,-55.34%
59,Ama_CL,多头,880446,2017/4/7 10:30,1272,2017/4/11 15:00,1268,1,1277,2017/4/7 14:00,1261,2017/4/11 14:00,90.16,-1554.2,7.27%,27.75%,-64.98%
60,Ama_CL,多头,880456,2017/4/5 15:00,2520,2017/4/12 10:30,2713,1,2744,2017/4/11 11:30,2519,2017/4/5 15:00,21565.76,-879.28,99.66%,85.66%,85.32%
61,Ama_CL,多头,880430,2017/4/12 10:30,1760,2017/4/12 11:30,1751,1,1760,2017/4/12 10:30,1751,2017/4/12 10:30,0,-1461.76,-166.51%,-165.66%,-432.17%
62,Ama_CL,多头,880587,2017/4/11 11:30,1845,2017/4/13 11:30,1832,1,1852,2017/4/11 15:00,1820,2017/4/13 10:30,148.42,-3068.42,5.63%,22.69%,-71.68%
63,Ama_CL,多头,880938,2017/4/7 15:00,1366,2017/4/13 11:30,1407,1,1407,2017/4/13 10:30,1363,2017/4/7 15:00,3671.3,-692.72,93.47%,99.62%,93.09%
64,Ama_CL,多头,880563,2017/4/7 14:00,2214,2017/4/13 11:30,2217,1,2240,2017/4/11 15:00,2196,2017/4/12 15:00,1899.35,-2518.57,51.12%,37.87%,-11.01%
65,Ama_CL,多头,880917,2017/4/7 11:30,1998,2017/4/14 10:30,2040,1,2059,2017/4/11 15:00,1998,2017/4/7 11:30,5457.88,-639.36,100.00%,65.12%,65.12%
66,Ama_CL,多头,880390,2017/4/13 14:00,1707,2017/4/14 11:30,1691,1,1707,2017/4/13 14:00,1691,2017/4/13 14:00,0,-2143.68,-51.71%,-51.23%,-202.94%
67,Ama_CL,多头,880589,2017/3/6 15:00,1435,2017/4/14 11:30,1457,1,1511,2017/3/27 10:30,1420,2017/3/13 10:30,7148.61,-1968.78,82.52%,37.54%,20.05%
68,Ama_CL,多头,880845,2017/4/5 14:00,2102,2017/4/14 15:00,2082,1,2114,2017/4/7 14:00,2082,2017/4/5 14:00,573.36,-2669.44,22.25%,-25.86%,-103.60%
69,Ama_CL,多头,880550,2017/4/6 14:00,2262,2017/4/14 15:00,2361,1,2420,2017/4/12 10:30,2262,2017/4/6 14:00,15035.91,-723.84,100.00%,60.92%,60.92%
70,Ama_CL,多头,880549,2017/4/6 11:30,1514,2017/4/14 15:00,1532,1,1568,2017/4/12 10:30,1511,2017/4/6 14:00,4902.89,-767.03,94.53%,30.77%,25.31%
71,Ama_CL,多头,880546,2017/4/7 14:00,2289,2017/4/17 10:30,2263,1,2373,2017/4/12 10:30,2263,2017/4/7 14:00,7641.11,-3328.32,74.58%,-7.07%,-32.49%
72,Ama_CL,多头,880482,2017/4/10 11:30,1764,2017/4/17 10:30,1777,1,1829,2017/4/12 14:00,1760,2017/4/10 14:00,5906.16,-983.81,93.35%,18.24%,11.59%
73,Ama_CL,多头,880926,2017/4/6 14:00,1306,2017/4/17 10:30,1409,1,1426,2017/4/13 11:30,1306,2017/4/6 14:00,11579.85,-417.92,100.00%,85.20%,85.20%
74,Ama_CL,多头,880902,2017/4/6 11:30,2002,2017/4/17 10:30,1955,1,2023,2017/4/11 10:30,1955,2017/4/6 11:30,1425.04,-5333.12,23.24%,-10.20%,-86.96%
75,Ama_CL,多头,880857,2017/4/12 14:00,876,2017/4/17 10:30,866,1,881,2017/4/14 10:30,866,2017/4/12 14:00,215.88,-1278.72,17.73%,-22.76%,-105.03%
