Bar#,时间,多头保证金,空头保证金,可用资金,动态权益,交易成本,静态权益,累计收益率
1313,2018/6/26 11:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1312,2018/6/26 10:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1311,2018/6/25 15:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1310,2018/6/25 14:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1309,2018/6/25 11:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1308,2018/6/25 10:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1307,2018/6/22 15:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1306,2018/6/22 14:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1305,2018/6/22 11:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1304,2018/6/22 10:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1303,2018/6/21 15:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1302,2018/6/21 14:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1301,2018/6/21 11:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1300,2018/6/21 10:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1299,2018/6/20 15:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1298,2018/6/20 14:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1297,2018/6/20 11:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1296,2018/6/20 10:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1295,2018/6/19 15:00,0,0,1523236342,1523236342,0,1523236342,2004.68
1294,2018/6/19 14:00,0,0,1523236342,1523236342,479.52,1523236342,2004.68
1293,2018/6/19 11:00,299749,0,1522937588,1523237337,0,1523228988,2005.02
1292,2018/6/19 10:00,304325,0,1522937588,1523241913,640,1523228988,2006.59
1291,2018/6/15 15:00,717040.99,0,1522538877,1523255918,0,1523235777,2012.56
1290,2018/6/15 14:00,719973.01,0,1522538877,1523258850,0,1523235777,2013.73
1289,2018/6/15 11:00,715582.01,0,1522538877,1523254459,428.48,1523235777,2011.99
1288,2018/6/15 10:00,987059.97,0,1522271911,1523258971,0,1523222311,2013.96
1287,2018/6/14 15:00,992307.01,0,1522271911,1523264218,0,1523222311,2015.98
1286,2018/6/14 14:00,992511,0,1522271911,1523264422,0,1523222311,2016.17
1285,2018/6/14 11:00,991744,0,1522271911,1523263655,498.24,1523222311,2015.75
1284,2018/6/14 10:00,1313719.99,0,1521961520,1523275240,0,1523231020,2020.12
1283,2018/6/13 15:00,1324450.99,0,1521961520,1523285971,0,1523231020,2024.34
1282,2018/6/13 14:00,1328777,0,1521961520,1523290297,0,1523231020,2026.05
1281,2018/6/13 11:00,1333126.01,0,1521961520,1523294646,0,1523231020,2027.75
1280,2018/6/13 10:00,1336439,0,1521961520,1523297959,510.56,1523231020,2029.15
1279,2018/6/12 15:00,1016941.01,0,1522280620,1523297561,0,1523231020,2028.94
1278,2018/6/12 14:00,1011680.02,0,1522280620,1523292300,0,1523231020,2026.76
1277,2018/6/12 11:00,1011228.99,0,1522280620,1523291849,0,1523231020,2026.52
1276,2018/6/12 10:00,1000337.01,0,1522280620,1523280957,110.56,1523231020,2022.01
1275,2018/6/11 15:00,1068521.01,0,1522211738,1523280259,0,1523229138,2022.17
1274,2018/6/11 14:00,1068736,0,1522211738,1523280474,0,1523229138,2022.14
1273,2018/6/11 11:00,1072490.98,0,1522211738,1523284229,479.2,1523229138,2023.9
1272,2018/6/11 10:00,1368437.99,0,1521913199,1523281637,436.16,1523231699,2023.23
1271,2018/6/8 15:00,1636032,0,1521641477,1523277509,564.32,1523236377,2023.18
1270,2018/6/8 14:00,1983370.98,0,1521289888,1523273259,0,1523226288,2021.34
1269,2018/6/8 11:00,1988422.02,0,1521289888,1523278310,0,1523226288,2023.87
1268,2018/6/8 10:00,1995064.01,0,1521289888,1523284952,611.52,1523226288,2027.78
1267,2018/6/7 15:00,1623036,0,1521672088,1523295124,0,1523226288,2032.82
1266,2018/6/7 14:00,1624823.01,0,1521672088,1523296911,158.72,1523226288,2034.32
1265,2018/6/7 11:00,1527441.98,0,1521771288,1523298730,0,1523226288,2035.54
1264,2018/6/7 10:00,1530527.01,0,1521771288,1523301815,0,1523226288,2037.46
1263,2018/6/6 15:00,1520866.98,0,1521771288,1523292155,231.84,1523226288,2032.9
1262,2018/6/6 14:00,1386709,0,1521916188,1523302897,157.6,1523226288,2036.81
1261,2018/6/6 11:00,1476574,0,1521818002,1523294576,494.88,1523226102,2033.89
1260,2018/6/6 10:00,1780559,0,1521509603,1523290162,0,1523171403,2032.37
1259,2018/6/5 15:00,1774997.01,0,1521509603,1523284600,522.24,1523171403,2029.51
1258,2018/6/5 14:00,1444675.98,0,1521836003,1523280679,441.6,1523171403,2027.41
1257,2018/6/5 11:00,1364229.99,0,1521910726,1523274956,0,1523172226,2024.72
1256,2018/6/5 10:00,1358643.99,0,1521910726,1523269370,323.2,1523172226,2021.5
1255,2018/6/4 15:00,1545068.01,0,1521709376,1523254444,562.4,1523174976,2015.93
1254,2018/6/4 14:00,1195773.01,0,1522060876,1523256649,0,1523174976,2017.88
1253,2018/6/4 11:00,1187449,0,1522060876,1523248325,0,1523174976,2014.29
1252,2018/6/4 10:00,1183711.99,0,1522060876,1523244588,0,1523174976,2012.74
1251,2018/6/1 15:00,1182442.97,0,1522060876,1523243319,0,1523174976,2013.21
1250,2018/6/1 14:00,1176587.98,0,1522060876,1523237464,0,1523174976,2010.02
1249,2018/6/1 11:00,1186514.98,0,1522060876,1523247391,261.6,1523174976,2015.34
1248,2018/6/1 10:00,1361253.99,0,1521897881,1523259135,348.8,1523163881,2021.44
1247,2018/5/31 15:00,1588414.99,0,1521680550,1523268965,704.16,1523147050,2025.95
1246,2018/5/31 14:00,2019508.02,0,1521241796,1523261304,573.28,1523109396,2021.28
1245,2018/5/31 11:00,1965390.98,0,1521292187,1523257578,272.16,1523107987,2019.09
1244,2018/5/31 10:00,2118868.01,0,1521122619,1523241487,172.16,1523101319,2009.72
1243,2018/5/30 15:00,2194246.99,0,1521015368,1523209615,0,1523104268,1993.23
1242,2018/5/30 14:00,2226016,0,1521015368,1523241384,0,1523104268,2010.76
1241,2018/5/30 11:00,2202681.99,0,1521015368,1523218050,0,1523104268,1997.49
1240,2018/5/30 10:00,2190630.01,0,1521015368,1523205998,780.8,1523104268,1990.52
1239,2018/5/29 15:00,1728256,0,1521503368,1523231624,484.32,1523104268,2006.81
1238,2018/5/29 14:00,2078991.01,0,1521201637,1523280628,0,1523105437,2033.86
1237,2018/5/29 11:00,2097874,0,1521201637,1523299511,1130.56,1523105437,2044.56
1236,2018/5/29 10:00,2800178,0,1520497316,1523297494,294.72,1523119216,2043.66
1235,2018/5/28 15:00,2972624.99,0,1520313704,1523286329,279.04,1523119004,2038.21
1234,2018/5/28 14:00,3151196.03,0,1520139843,1523291039,581.12,1523107543,2039.74
1233,2018/5/28 11:00,3513708.97,0,1519777804,1523291513,439.68,1523107704,2039.25
1232,2018/5/28 10:00,3773030.99,0,1519503883,1523276914,804.96,1523108083,2030.91
1231,2018/5/25 15:00,4292739.05,0,1519002405,1523295144,0,1523117505,2039.96
1230,2018/5/25 14:00,4302571.03,0,1519002405,1523304976,1516.64,1523117505,2044.3
1229,2018/5/25 11:00,5257180,0,1518057480,1523314660,500.16,1523083880,2049.34
1228,2018/5/25 10:00,5220569.98,0,1518088337,1523308907,499.2,1523087837,2046.69
1227,2018/5/24 15:00,5527501.04,0,1517777328,1523304829,393.28,1523084328,2046.31
1226,2018/5/24 14:00,5784521.02,0,1517532315,1523316836,714.72,1523085615,2052.65
1225,2018/5/24 11:00,5925102.98,0,1517391164,1523316267,489.6,1523090564,2053.61
1224,2018/5/24 10:00,5924215.99,0,1517381072,1523305288,657.6,1523092172,2046.34
1223,2018/5/23 15:00,6338758.99,0,1516971380,1523310139,460.32,1523088580,2049.2
1222,2018/5/23 14:00,6651870.98,0,1516684593,1523336464,349.12,1523084893,2062.07
1221,2018/5/23 11:00,6887034,0,1516467092,1523354126,427.52,1523086492,2072.48
1220,2018/5/23 10:00,6878161.96,0,1516489482,1523367644,1172.64,1523084982,2080.11
1219,2018/5/22 15:00,6437952.99,0,1516947626,1523385579,551.68,1523087926,2098.97
1218,2018/5/22 14:00,6355560.04,0,1516986716,1523342276,254.88,1523088516,2072.83
1217,2018/5/22 11:00,6211165.07,0,1517146016,1523357181,695.68,1523088516,2084.1
1216,2018/5/22 10:00,5768079.06,0,1517580816,1523348895,1200.32,1523088516,2080.36
1215,2018/5/21 15:00,5196666.96,0,1518132535,1523329202,245.12,1523089135,2070.81
1214,2018/5/21 14:00,5038653.01,0,1518285735,1523324388,484.64,1523089135,2068.37
1213,2018/5/21 11:00,5007749.98,0,1518314670,1523322420,1237.76,1523087370,2067.84
1212,2018/5/21 10:00,5569690.96,0,1517742606,1523312297,2471.04,1523076806,2060.71
1211,2018/5/18 15:00,7072640,0,1516203097,1523275737,459.2,1523049797,2037
1210,2018/5/18 14:00,7065305.03,0,1516158024,1523223330,568.8,1523047124,2002.75
1209,2018/5/18 11:00,7216701.99,0,1515991963,1523208665,255.04,1523049363,1993.38
1208,2018/5/18 10:00,7047047.98,0,1516151363,1523198411,485.6,1523049363,1986.5
1207,2018/5/17 15:00,7080962.97,0,1516141765,1523222728,641.12,1523050565,1997.47
1206,2018/5/17 14:00,7485360.02,0,1515742333,1523227693,750.56,1523042433,2001.17
1205,2018/5/17 11:00,7753698.97,0,1515492576,1523246275,249.76,1523038476,2013.18
1204,2018/5/17 10:00,7911471,0,1515336977,1523248448,0,1523039677,2014.29
1203,2018/5/16 15:00,7943916.03,0,1515336977,1523280893,408.48,1523039677,2032.61
1202,2018/5/16 14:00,8248671.99,0,1515082500,1523331172,262.24,1523044000,2063.94
1201,2018/5/16 11:00,8069929.92,0,1515246400,1523316330,329.6,1523044000,2054.14
